CustomerID,Name,Gender,City,State Code,State,Zip Code,Country,Continent,Birthday
301,Lilly Harding,Female,WANDEARAH EAST,SA,South Australia,5523,Australia,Australia,7/3/1939
325,Madison Hull,Female,MOUNT BUDD,WA,Western Australia,6522,Australia,Australia,9/27/1979
554,Claire Ferres,Female,WINJALLOK,VIC,Victoria,3380,Australia,Australia,5/26/1947
786,Jai Poltpalingada,Male,MIDDLE RIVER,SA,South Australia,5223,Australia,Australia,9/17/1957
1042,Aidan Pankhurst,Male,TAWONGA SOUTH,VIC,Victoria,3698,Australia,Australia,11/19/1965
1086,Hayden Clegg,Male,TEMPLERS,SA,South Australia,5371,Australia,Australia,1/20/1954
1133,Nicholas Caffyn,Male,JUBILEE POCKET,QLD,Queensland,4802,Australia,Australia,11/22/1969
1256,Lincoln Jenks,Male,KULLOGUM,QLD,Queensland,4660,Australia,Australia,3/12/1950
1314,Isaac Israel,Male,EDITH RIVER,NT,Northern Territory,852,Australia,Australia,12/21/1965
1568,Luke Virtue,Male,KOTTA,VIC,Victoria,3565,Australia,Australia,7/25/1975
1585,Anna Hallstrom,Female,GREEN LAKE,VIC,Victoria,3401,Australia,Australia,8/12/1990
1626,Mary Leach,Female,NEDS CORNER,VIC,Victoria,3496,Australia,Australia,10/17/1985
1642,Ruby Ambrose,Female,TARLO,NSW,New South Wales,2580,Australia,Australia,3/3/1965
1677,Dean Innes,Male,ELLESMERE,QLD,Queensland,4610,Australia,Australia,11/22/1964
1817,Laura Le Rennetel,Female,BEAUCHAMP,VIC,Victoria,3579,Australia,Australia,7/10/1986
1863,Chelsea Watkins,Female,NAMBOUR DC,QLD,Queensland,4560,Australia,Australia,9/22/1984
1945,Angus Beaurepaire,Male,GREENFIELDS,WA,Western Australia,6210,Australia,Australia,9/20/1974
2238,Isabelle Cochran,Female,BRUCKNELL,VIC,Victoria,3268,Australia,Australia,10/31/1969
2248,Rory Spargo,Male,JUNG,VIC,Victoria,3401,Australia,Australia,12/15/1987
2435,Lilian Hall,Female,BLAKEBROOK,NSW,New South Wales,2480,Australia,Australia,4/1/1968
2469,Phoebe Kneeshaw,Female,BIDWILL,QLD,Queensland,4650,Australia,Australia,5/20/1948
2512,Matilda Hake,Female,BUNKERS HILL,VIC,Victoria,3352,Australia,Australia,11/13/1992
2604,Claudia Davison,Female,KUBIN VILLAGE,QLD,Queensland,4875,Australia,Australia,4/8/1995
2751,Nate Lowes,Male,CALLIDE,QLD,Queensland,4715,Australia,Australia,8/20/1979
2792,Zachary Perkin,Male,BAMGANIE,VIC,Victoria,3333,Australia,Australia,8/25/1976
2836,Nicholas Shand,Male,GORDONBROOK,QLD,Queensland,4610,Australia,Australia,2/23/1959
3002,Joshua Aronson,Male,SMITHTON,TAS,Tasmania,7330,Australia,Australia,11/8/2000
3006,Alica Stuckey,Female,HARTLEY,NSW,New South Wales,2790,Australia,Australia,1/13/1943
3203,Aidan Kane,Male,ARGENTON,NSW,New South Wales,2284,Australia,Australia,8/18/1998
3270,Hunter Templeton,Male,CENTRAL TILBA,NSW,New South Wales,2546,Australia,Australia,5/2/1948
3327,Alannah Le Messurier,Female,KONONGWOOTONG,VIC,Victoria,3315,Australia,Australia,4/28/1948
